Category,Sub-Category,Month,Millions of Dollars,Pipeline_exc_datetime
Meats and poultry,Other meats,1985/04/01,8045,2023/08/31 04:02:51
Meats and poultry,Other meats,1985/05/01,8053,2023/08/31 04:02:51
Meats and poultry,Other meats,1985/06/01,8054,2023/08/31 04:02:51
Meats and poultry,Other meats,1985/07/01,8069,2023/08/31 04:02:51
Meats and poultry,Other meats,1985/08/01,8102,2023/08/31 04:02:51
Meats and poultry,Other meats,1985/09/01,8152,2023/08/31 04:02:51
Meats and poultry,Other meats,1985/10/01,8114,2023/08/31 04:02:51
Meats and poultry,Other meats,1985/11/01,8162,2023/08/31 04:02:51
Meats and poultry,Other meats,1985/12/01,8175,2023/08/31 04:02:51
Meats and poultry,Other meats,1986/01/01,8131,2023/08/31 04:02:51
Meats and poultry,Other meats,1986/02/01,8010,2023/08/31 04:02:51
Meats and poultry,Other meats,1986/03/01,7966,2023/08/31 04:02:51
Meats and poultry,Other meats,1986/04/01,7812,2023/08/31 04:02:51
Meats and poultry,Other meats,1986/05/01,7797,2023/08/31 04:02:51
Meats and poultry,Other meats,1986/06/01,7762,2023/08/31 04:02:51
Meats and poultry,Other meats,1986/07/01,7752,2023/08/31 04:02:51
Meats and poultry,Other meats,1986/08/01,7648,2023/08/31 04:02:51
Meats and poultry,Other meats,1986/09/01,7718,2023/08/31 04:02:51
Meats and poultry,Other meats,1986/10/01,7775,2023/08/31 04:02:51
Meats and poultry,Other meats,1986/11/01,7786,2023/08/31 04:02:51
Meats and poultry,Other meats,1986/12/01,7833,2023/08/31 04:02:51
Meats and poultry,Other meats,1987/01/01,7835,2023/08/31 04:02:51
Meats and poultry,Other meats,1987/02/01,7962,2023/08/31 04:02:51
Meats and poultry,Other meats,1987/03/01,7986,2023/08/31 04:02:51
Meats and poultry,Other meats,1987/04/01,8069,2023/08/31 04:02:51
Meats and poultry,Other meats,1987/05/01,8076,2023/08/31 04:02:51
Meats and poultry,Other meats,1987/06/01,8149,2023/08/31 04:02:51
Meats and poultry,Other meats,1987/07/01,8128,2023/08/31 04:02:51
