Category,Sub-Category,Month,Millions of Dollars,Pipeline_exc_datetime
Cereals and bakery products,Bakery products,1987/12/01,26489,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1988/01/01,26461,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1988/02/01,26602,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1988/03/01,27066,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1988/04/01,27125,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1988/05/01,27354,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1988/06/01,27369,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1988/07/01,27754,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1988/08/01,28097,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1988/09/01,28024,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1988/10/01,28227,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1988/11/01,28422,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1988/12/01,28314,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1989/01/01,28760,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1989/02/01,28866,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1989/03/01,28884,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1989/04/01,28928,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1989/05/01,29252,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1989/06/01,29294,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1989/07/01,29441,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1989/08/01,29604,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1989/09/01,29907,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1989/10/01,29871,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1989/11/01,30123,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1989/12/01,30531,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1990/01/01,30478,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1990/02/01,30892,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1990/03/01,31289,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1990/04/01,31218,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1990/05/01,31310,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1990/06/01,31711,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1990/07/01,31605,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1990/08/01,31724,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1990/09/01,32093,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1990/10/01,31623,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1990/11/01,31967,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1990/12/01,31671,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1976/01/01,6494,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1976/02/01,6411,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1976/03/01,6437,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1976/04/01,6466,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1976/05/01,6482,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1976/06/01,6571,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1976/07/01,6530,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1976/08/01,6609,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1976/09/01,6609,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1976/10/01,6678,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1976/11/01,6632,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1976/12/01,6739,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1977/01/01,6866,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1977/02/01,6796,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1977/03/01,6783,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1977/04/01,6854,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1977/05/01,7020,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1977/06/01,7035,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1977/07/01,7066,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1977/08/01,7009,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1977/09/01,7014,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1977/10/01,7123,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1977/11/01,7318,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1977/12/01,7179,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1978/01/01,7082,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1978/02/01,7167,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1978/03/01,7203,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1978/04/01,7158,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1978/05/01,7212,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1978/06/01,7306,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1978/07/01,7267,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1978/08/01,7327,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1978/09/01,7455,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1978/10/01,7433,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1978/11/01,7588,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1978/12/01,7724,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1979/01/01,7867,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1979/02/01,7892,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1979/03/01,7999,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1979/04/01,7935,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1979/05/01,8169,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1979/06/01,8494,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1979/07/01,8311,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1979/08/01,8519,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1979/09/01,8732,2023/08/30 08:26:00
